Item,Price,Company,Heat,Date
14TB WD Elements Desktop External Hard Drive (USB 3.0) - / 12TB @ Western Digital (with 2 Year Warranty),185.0,Western Digital Shop,476.0,2020-10-14 00:00:00.000000
"LG 65UN85006LA 65"" (2020) Smart 4K Ultra HD HDR LED TV with HDMI 2.1 Google Assistant & Amazon Alexa - with @ Currys / eBay",649.0,eBay,260.0,2020-10-14 00:00:00.000000
TP-Link Archer MR600 AC1200 Mbps Cat6 4G+ LTE advanced SIM router for members only @ amazon,100.0,Amazon,220.0,2020-10-14 00:00:00.000000
MyMemory 128GB V30 PRO Micro SD Card (SDXC) A1 UHS-1 U3 + Adapter - 100MB/s Read -Lifetime Warranty- / 2 for @ Mymemory,12.0,MyMemory,250.0,2020-10-14 00:00:00.000000
UGREEN Ethernet adapter for TV stick — Micro-USB (100mbps max) to RJ45 LAN for Prime (+£4.49) using @ Ugreen fulfilled by Amazon,10.0,Amazon,255.0,2020-10-14 00:00:00.000000
FITBIT Versa 2 With Amazon Alexa - Black & Aluminium - With Code / Delivered @ Currys / Ebay,116.0,eBay,317.0,2020-10-14 00:00:00.000000
OnePlus 7T 8 GB RAM 128 GB UK SIM-Free Smartphone - Frosted Silver (2 Year Manufacturer Warranty) - @ Amazon Prime Exclusive,395.0,Amazon,387.0,2020-10-14 00:00:00.000000
Roku Streaming Stick+ Smart Box HD/4K/HDR Streaming Media Player - With Code @ Ao/eBay,31.0,eBay,134.0,2020-10-14 00:00:00.000000
Seneo 2 in 1 Wireless Charger for Apple Watch & Phone (7.5W Apple / 10W others) Prime Sold by SJH EU LTD Fulfilled by Amazon Prime,13.0,Amazon,236.0,2020-10-14 00:00:00.000000
Fireangel CO-9D Digital Sealed for Life Carbon Monoxide Alarm at Amazon Prime,14.0,Amazon,268.0,2020-10-14 00:00:00.000000
"HONOR Watch ES Smartwatch & Free TWS Earbuds - 1.64"" AMOLED - 10 Day Battery - @ Amazon Prime",100.0,Amazon,225.0,2020-10-14 00:00:00.000000
JABRA Elite Active 65t Wireless Bluetooth Headphones - Titanium Black Currys PC World,90.0,Currys PC World,166.0,2020-10-14 00:00:00.000000
WD Blue 3D NAND SATA SSD 1TB - @ Western Digital,79.0,Western Digital Shop,231.0,2020-10-14 00:00:00.000000
Oneplus 8 Pro Smartphone 128GB 8GB + Free Wireless Z Headphones - @ John Lewis & Partners,649.0,John Lewis,401.0,2020-10-14 00:00:00.000000
Ring Wireless White Door chime - + free Click and Collect @ B&Q,16.0,B&Q,357.0,2020-10-14 00:00:00.000000
WD Blue 3D NAND SATA SSD 2TB @ Western Digital,170.0,Western Digital Shop,268.0,2020-10-14 00:00:00.000000
WD Blue 3D NAND SATA SSD 4TB @ Western Digital,330.0,Western Digital Shop,245.0,2020-10-14 00:00:00.000000
"AMD Ryzen 9 3950X Processor (16C/32T, 72 MB Cache, 4.7 GHz Max Boost) @ Amazon",585.0,Amazon,678.0,2020-10-14 00:00:00.000000
"Bush FM USB Dual Alarm Digital Clock Radio - Black, at Argos/ebay",8.0,eBay,253.0,2020-10-14 00:00:00.000000
"Razer Kraken X - Gaming Headset (Ultralight Gaming Headphones for PC, Mac, Xbox One, PS4 and Switch) with Prime at Amazon",30.0,Amazon,332.0,2020-10-14 00:00:00.000000
Samsung UE65TU7100 65 Inch TV Smart 4K Ultra HD LED Freeview HD 2 HDMI for with @ AO eBay,332.0,eBay,734.0,2020-10-14 00:00:00.000000
"Logitech G MX518 Gaming Mouse Hero Sensor, at Amazon Prime Exclusive",30.0,Amazon,242.0,2020-10-14 00:00:00.000000
"Samsung Samsung UE65TU7100 65"" Smart 4K Ultra HD TV With HDR10+ and Crystal Processor 4K @ AO.com",349.0,ao.com,314.0,2020-10-14 00:00:00.000000
"Samsung 65"" TU7100 HDR Smart 4K TV with Tizen OS [Energy Class A+] Amazon sold by AO.",381.0,Amazon,433.0,2020-10-14 00:00:00.000000
SanDisk SSD Plus 1TB - Sata III Internal SSD @ Western Digital,70.0,Western Digital Shop,988.0,2020-10-14 00:00:00.000000
WD Blue SN550 1TB High-Performance M.2 Pcie NVMe SSD 2400/1950MB/s R/W - / 500GB - @ Western Digital Shop (5-Year Warranty),85.0,Western Digital Shop,363.0,2020-10-14 00:00:00.000000
"ACER ACTAB1021 10"" Tablet 3GB RAM 32 GB USB type c - @ Currys PC World",100.0,Currys PC World,355.0,2020-10-14 00:00:00.000000
SanDisk 128GB Ultra Micro SD Card (SDXC) UHS-I A1 - 100MB/s - Delivered @ MyMemory,13.0,MyMemory,275.0,2020-10-14 00:00:00.000000
"TP-Link Tapo Smart Plug Wi-Fi Outlet, Works with Amazon Alexa, Google, 4 Pack / 2 pack at Amazon Prime Only",30.0,Amazon,508.0,2020-10-14 00:00:00.000000
